"individual_carrier_prevalence","both_carriers_probability","one_carrier_probability","neither_carrier_probability","strategy","incremental_cost_thb","births_averted_proportion","icer_thb_per_birth_averted","net_cost_saving_thb","cost_saving_at_average_management_cost"
0.24,0.0576,0.3648,0.5776,"Strategy 1: Post-conception screening",989.625216,0.004476672,221062.703722765,2068.12586673674,TRUE
0.24,0.0576,0.3648,0.5776,"Strategy 2: Pre-conception screening, targeted DNA",1125.6,0.0072,156333.333333333,3792.29610579121,TRUE
0.24,0.0576,0.3648,0.5776,"Strategy 3: Pre-conception screening, universal DNA",6000,0.0072,833333.333333333,-1082.10389420879,FALSE
0.24,0.0576,0.3648,0.5776,"Strategy 4: Combined screening",1225.86576,0.00999792,122612.079312497,5603.12477250168,TRUE
0.25,0.0625,0.375,0.5625,"Strategy 1: Post-conception screening",1036.5725,0.0048575,213396.294390118,2281.29976859456,TRUE
0.25,0.0625,0.375,0.5625,"Strategy 2: Pre-conception screening, targeted DNA",1155,0.0078125,147840,4181.25879534637,TRUE
0.25,0.0625,0.375,0.5625,"Strategy 3: Pre-conception screening, universal DNA",6000,0.0078125,768000,-663.741204653634,FALSE
0.25,0.0625,0.375,0.5625,"Strategy 4: Combined screening",1263.7953125,0.0108484375,116495.607086274,6146.13365071796,TRUE
0.26,0.0676,0.3848,0.5476,"Strategy 1: Post-conception screening",1085.276816,0.005253872,206567.045409557,2503.33382971187,TRUE
0.26,0.0676,0.3848,0.5476,"Strategy 2: Pre-conception screening, targeted DNA",1185.6,0.00845,140307.692307692,4586.09751304663,TRUE
0.26,0.0676,0.3848,0.5476,"Strategy 3: Pre-conception screening, universal DNA",6000,0.00845,710059.171597633,-228.302486953369,FALSE
0.26,0.0676,0.3848,0.5476,"Strategy 4: Combined screening",1303.27301,0.01173367,111071.217274732,6711.30615661655,TRUE
0.27,0.0729,0.3942,0.5329,"Strategy 1: Post-conception screening",1135.738164,0.005665788,200455.464270813,2734.22805008869,TRUE
0.27,0.0729,0.3942,0.5329,"Strategy 2: Pre-conception screening, targeted DNA",1217.4,0.0091125,133596.70781893,5006.812258892,TRUE
0.27,0.0729,0.3942,0.5329,"Strategy 3: Pre-conception screening, universal DNA",6000,0.0091125,658436.21399177,224.212258892002,TRUE
0.27,0.0729,0.3942,0.5329,"Strategy 4: Combined screening",1344.2988525,0.0126536175,106238.303196695,7298.64229019743,TRUE
0.28,0.0784,0.4032,0.5184,"Strategy 1: Post-conception screening",1187.956544,0.006093248,194962.775846314,2973.98242972501,TRUE
0.28,0.0784,0.4032,0.5184,"Strategy 2: Pre-conception screening, targeted DNA",1250.4,0.0098,127591.836734694,5443.40303288248,TRUE
0.28,0.0784,0.4032,0.5184,"Strategy 3: Pre-conception screening, universal DNA",6000,0.0098,612244.897959184,693.803032882483,TRUE
0.28,0.0784,0.4032,0.5184,"Strategy 4: Combined screening",1386.87284,0.01360828,101913.89653946,7908.14205146062,TRUE
0.29,0.0841,0.4118,0.5041,"Strategy 1: Post-conception screening",1241.931956,0.006536252,190006.743314058,3222.59696862084,TRUE
0.29,0.0841,0.4118,0.5041,"Strategy 2: Pre-conception screening, targeted DNA",1284.6,0.0105125,122197.384066587,5895.86983501807,TRUE
0.29,0.0841,0.4118,0.5041,"Strategy 3: Pre-conception screening, universal DNA",6000,0.0105125,570749.108204518,1180.46983501807,TRUE
0.29,0.0841,0.4118,0.5041,"Strategy 4: Combined screening",1430.9949725,0.0145976575,98029.0825771189,8539.8054404061,TRUE
0.3,0.09,0.42,0.49,"Strategy 1: Post-conception screening",1297.6644,0.0069948,185518.442271402,3480.07166677616,TRUE
0.3,0.09,0.42,0.49,"Strategy 2: Pre-conception screening, targeted DNA",1320,0.01125,117333.333333333,6364.21266529877,TRUE
0.3,0.09,0.42,0.49,"Strategy 3: Pre-conception screening, universal DNA",6000,0.01125,533333.333333333,1684.21266529877,TRUE
0.3,0.09,0.42,0.49,"Strategy 4: Combined screening",1476.66525,0.01562175,94526.2374573911,9193.63245703387,TRUE
